Timestamp	Select your telescope:	Enter the local *start of night* date:	Please briefly summarize your night:	Select the name of the first target:	For how long did you observe the first target?	Select the name of the second target:	For how long did you observe the second target?
2020/05/28 08:22:33 PM	Calar Alto	2020/05/28	Cleat skies all night. Primary target observed the whole night. I decreased exposure time to 25s and to 15s and changed focus to 46.1 5 0.1	LP388-55	4:17:00		
2020/05/29 08:35:57 AM	Schulman	2020/05/28	Clear night, no issues.	LP 326-21	6:00:00		
2020/05/29 08:15:37 PM	Calar Alto	2020/05/29	Clear skies all night. Primary target observed the whole night. Exposure time to 15 seconds.	LP388-55	5:52:00		
2020/05/30 08:09:06 PM	Calar Alto	2020/05/30	Clear skies all night. Primary target observed the whole night using an exposure time of 15s. 	LP388-55	5:50:00		
2020/05/31 08:12:51 PM	Calar Alto	2020/05/31	Bad weather before the astro night. Observed primary target for more than five hours.	LP 388-55	5:20:00		
2020/06/01 08:02:51 PM	Calar Alto	2020/01/06	Observed the primary target for more than five hours	LP 388-55	5:40:00		
2020/06/04 11:09:35 PM	Schulman	2020/06/03	Clear sky, poor seeing.	LP 335-12			
2020/09/03 08:12:42 PM	Calar Alto	2020/09/02	Clear sky. Both 2MASSI J0019457+521317 & LP 229-30 were very faint and almost unobservable.	LP 229-30	4:00:00		
2020/09/03 08:14:34 PM	Calar Alto	2020/09/03	Clear sky. both targets were faint. observed only one target.	LP 335-12	5:00:00	LP 647-13	0:00:00
2020/09/04 10:07:48 PM	Calar Alto	2020/09/04	Clear sky. observed both targets LP229-30 & 2MASS J05153094+5911184	LP229-30	6:00:00	2MASS J05153094+5911184	3:00:00
2020/09/05 09:19:19 PM	Calar Alto	2020/09/05	Good conditions. Could observe both targets.	LP 229-30	2:29:00	LSPM J0357+4107	5:00:00
2020/09/06 09:33:11 PM	Calar Alto	2020/09/06	Good conditions during the whole night. Observed LP229-30 first then 2MASSI J0019457+521317. 	LP 229-30	3:00:00	LSPM J0124+6819	4:40:00
2020/09/07 06:12:33 PM	Calar Alto	2020/09/07	First 2 hours of the night went well. However, we stopped observing from 22:11 UT due to bad weather conditions (high humidity)	 LP 229-30	2:13:00		
2020/09/08 10:00:11 PM	Calar Alto	2020/09/08	"Weather conditions: Very humid (99%) and Dew point equal to the temperature result in no observations in the first part of the night.
From 22:24 UT, we could observe (38 min for LP 229-30 and 5h21min for 2MASSI J0019457+521317)"	LP 229-30	0:38:00	2MASSI J0019457+521317	5:21:00
2020/09/09 09:32:48 PM	Calar Alto	2020/09/10	Observed 2MASSI J0019457+521317 all night with good weather conditions.		8:00:00		0:00:00
2020/09/10 09:29:56 PM	Calar Alto	2020/09/10	Clear sky all night, good conditions. Observed 2MASSI J0019457+521317 all night.	2MASSI J0019457+521317	9:00:00		
2020/09/11 09:48:31 PM	Calar Alto	2020/09/11	first clouded out, then good conditions. Delay from positioning issues. Observed 2MASSI J0019457+521317		5:30:00		
2020/09/12 09:49:53 PM	Calar Alto	2020/09/12	relatively clear skies throughout. Observed 2MASSI J0019457+521317 all night.	2MASSI J0019457	8:00:00		
2020/09/13 10:21:13 PM	Calar Alto	2020/09/13	clear with periods of clouds. Observed LP 335-12, LP 822-7, 2MASSI J0019457+521317, STARLINK-1405		5:00:00	LP 822-7	1:30:00
2020/09/19 10:47:55 PM	Calar Alto	2020/09/19	Clear skies. Observed LP229-30, TOI 1468.02, SpaceX STARLINK-1436 (VISORSAT),  SpaceX STARLINK-1406 ,  SpaceX STARLINK-1401, SpaceX STARLINK-1436 2nd pass	LP229-30	1:30:00		3:30:00
2020/09/20 09:13:50 PM	Calar Alto	2020/09/20	Clear sky at the beginning of the night. Observed TOI 1468.02; at 2:48 UT dome was closed due to clouds. Could not observe STARLINKs.	TOI 1468.02	3:00:00		
2020/09/21 09:17:14 PM	Calar Alto	2020/09/21	Clear sky the whole night. Observed LP 647-13, then switched to 2MASS J05153094+5911184	LP 647-13	1:00:00	2MASS J05153094+5911184	3:00:00
2020/09/22 10:05:26 PM	Calar Alto	2020/09/22	Very cloudy. We could not observe the tess follow-up. We managed to get some data for LP647 and LP229	LP647 	2:00:00	LP229	1:10:00
2020/09/23 08:03:10 PM	Calar Alto	2020/09/23	It was clear during the first hour, after that it became cloudy/windy and the dome had to be closed. 	LP229-30	1:15:00		
2020/09/24 09:01:47 PM	Calar Alto	2020/09/24	Night lost due to weather				
2020/09/25 03:18:01 PM	Lulin	2020/09/16	Sometimes thin cloud passes before UT 16:00. The sky becomes clear after UT 16:00.		6:28:20		
2020/09/25 03:19:56 PM	Lulin	2020/09/17	Thin cloud passes at UT 11:30-13:21, 13:21-13:51, 14:46-17:49, and 20:32-20:40.		2:16:14		6:56:30
2020/09/25 03:22:48 PM	Lulin	2020/09/18	Thin cloud passes at UT 18:10-19:17, and then the sky becomes cloudy.		1:52:00		
2020/09/25 03:23:55 PM	Lulin	2020/09/19	Cloudy and raining. No observation.				
2020/10/05 10:15:53 PM	Calar Alto	2020/10/05	observed 2 Eden and 1 Tess target as well as 3 satellites	2MASSI J0019457+521317	3:30:00	LP 229-30	1:00:00
2020/10/06 10:01:34 PM	Calar Alto	2020/10/06	observed one target for 9h	2MASSI J0019457+521317	9:00:00		
2020/10/09 09:15:52 PM	Calar Alto	2020/10/09	Good weather conditions. Observed TOI1468-02 the entire night	TOI1468-02	6:30:00		
2020/10/20 06:11:17 AM	Kuiper	2020/10/19	Observed main target for 7 hours then chose a new secondary because late-night target was very near hard declination limit	LP 647-13	7:00:00	G 100-29	3:00:00
2020/10/21 05:43:32 AM	Kuiper	2020/10/20	Observed TOI1468 transit, then primary for 5.5 hours and secondary for 2.5	LP 647-13	5:30:00	G 100-29	2:30:00
2020/10/22 07:32:34 PM	Calar Alto	2020/10/22	No observations were obtained. Humidity 100% during the whole night				
2020/10/24 10:03:04 PM	Calar Alto	2020/10/24	Good weather the whole night; observed TOI 1468.02 for five hours and 2MASS J05153094+5911184 for four hours	TOI 1468.02	4:40:00	2MASS J05153094+5911184	3:50:00
2020/10/25 06:30:40 PM	Calar Alto	2020/10/25	Good weather at the beginning of the night, strong winds later on; observed TOI 1749.01 until dome had to be closed (21:16UT); could not open again after that	TOI 1749.01	2:02:00		
2020/10/27 09:45:17 PM	Calar Alto	2020/10/27	Good weather all night, observed two targets.	LP 647-13	2:30:00	2MASS J05153094+5911184	4:30:00
2020/10/28 10:19:07 PM	Calar Alto	2020/10/28	Good weather all night. Observed LP 647-13 and 2MASS J05153094+5911184. LP 647-13 too close to the Moon to be observed.	LP 647-13	3:30:00	2MASS J05153094+5911184	7:30:00
2020/10/29 10:19:24 PM	Calar Alto	2020/10/29	All night clear, observed 2 targets	LP229-30	2:30:00	  2MASS J05153094+5911184	6:30:00
2020/10/30 08:58:28 PM	Calar Alto	2020/10/30	Clear on the first half. After 1:30am it presented several technical/weather problems	LP229-30	2:30:00	2MASS J05153094+5911184	2:00:00
2020/10/31 10:38:46 PM	Calar Alto	2020/10/31	Technical issues in the first hour that got solved. Good weather all night. Observed LP 229-30 then 2MASS J05153094+5911184. LP 647-13 was too close to the Moon to be observed.	 LP 229-30	1:49:00	2MASS J05153094+5911184	7:51:00
2020/11/01 10:12:27 PM	Calar Alto	2020/11/01	Good weather all night. Observed LP 229-30 and 2MASS. Poor seeing limited the signal to noise on 2MASS	LP 229-30	3:00:00		8:00:00
2020/11/04 05:07:38 PM	Calar Alto	2020/11/04	No observations possible at all due to 100% humidity and clouds throughout the night.				
2020/11/05 06:50:01 PM	Calar Alto	2020/11/05	Bad weather conditions, no observations.	None		None	
2020/11/17 06:20:56 AM	Kuiper	2020/11/16	Secondary target for 3 hours, caught TOI 1468.01 transit for 3.5 hours, then main target for 4.5 hours until clouds forced slightly early closure	LSPM J0419+4233	4:30:00	LSPM J0140+2701	3:00:00
2020/11/18 04:32:44 PM	Kuiper	2020/11/17	Observed secondary target for 2 hours and then primary target for rest of night	LSPM J0419+4233	9:30:00	LSPM J0140+2701	2:00:00
2020/11/19 06:02:40 AM	Kuiper	2020/11/18	Observed secondary target for 2 hours then main target for rest of night	LSPM J0419+4233	9:30:00	LSPM J0140+2701	2:00:00
2020/11/20 05:37:13 AM	Kuiper	2020/11/19	Observed secondary target for 2 hours, then TOI 1468 transit and main target for rest of night	LSPM J0419+4233	6:30:00	LPSM J0140+2701	2:00:00
2020/11/22 10:25:51 PM	Calar Alto	2020/11/22	Perfect conditions. Mostly observed primary EDEN target LSPM J0419+4233; between 1:00 and 2:15 (UT) observed TOI 1468 before it disappeared below horizon	LSPM J0419+4233	10:30:00	TOI 1468	1:15:00
2020/11/25 09:40:16 PM	Calar Alto	2020/11/25	Very poor weather conditions all night				
2020/12/14 03:16:37 AM	Lulin	2020/10/19	cloudy and no observation.				
2020/12/14 03:19:37 AM	Lulin	2020/10/18	cloudy and no observation.				
2020/12/14 03:21:04 AM	Lulin	2020/10/19	Sky was clear after 16:00 UT		2:46:00	2MASS_J0515+5911	1:13:00
2020/12/14 03:21:27 AM	Lulin	2020/10/20	cloudy and no observation				
2020/12/14 03:21:49 AM	Lulin	2020/10/21	cloudy and no observation				
2020/12/14 03:22:15 AM	Lulin	2020/10/22	cloudy and rain. no observation.				
2020/12/14 03:22:36 AM	Lulin	2020/10/23	cloudy and rain. no observation				
2020/12/14 03:22:53 AM	Lulin	2020/10/24	cloudy and rain. no observation				
2020/12/14 03:24:41 AM	Lulin	2020/10/25	Sky was clear before 11:52 and after 17:35 UT. There were think cloud around 11:52-13:14, 13:50 - 14:25, and 15:16 - 15:40 UT.	LP_229-30	1:00:00		7:20:00
2020/12/14 03:26:07 AM	Lulin	2020/10/25	Sky was clear before 11:52 and after 17:35 UT. There were think cloud around 11:52-13:14, 13:50 - 14:25, and 15:16 - 15:40 UT.	2MASS_J05153094+5911184 (The third target this date)	1:50:00		
2020/12/14 03:27:05 AM	Lulin	2020/10/26	There was thin cloud before 12:52 UT. The sky was clear after that.		0:40:00		6:03:00
2020/12/14 03:28:14 AM	Lulin	2020/10/26	There was thin cloud before 12:52 UT. The sky was clear after that.	2MASS_J05153094+5911184 (The third target this date)	2:10:00		
2020/12/14 03:29:44 AM	Lulin	2020/11/02	Cloudy all night.		7:00:00		2:11:00
2020/12/14 03:33:57 AM	Lulin	2020/11/03	There was thin cloud all night and foggy around 14:24 - 15:30 UT.		7:23:00		2:40:00
2020/12/14 03:35:46 AM	Lulin	2020/11/04	There was thin cloud all night		2:04:00	LSPM J0419+4233	8:20:00
2020/12/14 03:36:01 AM	Lulin	2020/11/05	cloudy and no observation.				
2020/12/14 03:36:18 AM	Lulin	2020/11/06	cloudy and rain. no observation.				
2020/12/14 03:36:56 AM	Lulin	2020/11/07	The sky was clear after 18:00 UT	LSPM J0419+4233	3:06:00		
2020/12/14 03:38:12 AM	Lulin	2020/11/17	Sky was clear all night.	LSPM J0419+4233	9:39:00		
2020/12/14 03:39:11 AM	Lulin	2020/11/18	Sky was clear all night.		1:22:00	LSPM J0419+4233	9:24:00
2020/12/14 03:40:12 AM	Lulin	2020/11/19	Sky was clear all night		8:02:00	LSPM J0419+4233	2:19:00
2020/12/15 07:51:39 AM	Lulin	2020/12/01	The sky was clear around 11:00 - 17:00 UT, and had thin cloud around 17:00 - 21:30 UT.		0:22:00	LSPM J0419+4233	8:54:00
2020/12/15 07:52:11 AM	Lulin	2020/12/01	The sky was clear around 11:00 - 17:00 UT, and had thin cloud around 17:00 - 21:30 UT.	LP_315-53 (The thrid target)	0:20:00		
2020/12/15 07:52:32 AM	Lulin	2020/12/02	cloudy and no observation.				
2020/12/15 07:53:42 AM	Lulin	2020/12/03	Around 10:40 - 16:00 UT clouds past. Around 16:00 - 17:41 UT sky was clear. Around 17:41 - 18:49 clouds past.	LSPM_J0140+2701	7:23:00		0:37:00
2020/12/15 07:54:20 AM	Lulin	2020/12/04	Around 15:50 - 16:55 UT the sky was clear. Around 17:38 - 20:21 the sky was clear except 18:00 - 18:05 and 18:35 - 18:45 UT. Around 20:04 - 20:09 UT clouds past.	LSPM J0419+4233	6:14:00		
2020/12/15 07:55:22 AM	Lulin	2020/12/05	The sky was clear after 17:30 UT.	LSPM J0419+4233	1:20:00		0:02:00
2020/12/15 07:56:05 AM	Lulin	2020/12/06	The sky become clear after 18:00 UT.	LSPM J0419+4233	9:42:00		
2020/12/15 07:56:42 AM	Lulin	2020/12/07	The sky was clear after UT 16:00, but sometimes thin clouds past.	LSPM J0419+4233	0:17:00		
2021/01/08 01:11:29 PM	Lulin	2021/01/03	The sky was clear all night.	LSPM J0419+4233	5:21:00	LP_315-53	0:20:00
2021/01/08 01:12:32 PM	Lulin	2021/01/04	The sky was clear all night.	LSPM J0419+4233	6:36:00	LP_315-53	3:04:00
2021/01/08 01:13:25 PM	Lulin	2021/01/05	The sky was clear all night.	LSPM J0419+4233	6:04:00	LP_315-53	3:05:00
2021/01/29 08:54:03 PM	Calar Alto	2021/01/29	Good weather at beginning, then wind speeded-up and the dome had to be closed.	LSPM J0419+4233	6:00:00	TOI1803	1:30:00
2021/01/31 05:46:32 PM	Calar Alto	2021/01/31	Could not open the dome due to wind and humidity	LSPM J0419+4233	0:00:00		
2021/02/02 12:02:44 AM	Calar Alto	2021/02/01	Observed one target for 6 hours until it was low in the sky. Clouds didn't allow further observation until late in the night. Second target observed for about 1 hour.	LSPM J0419+4233	6:20:00	2MUCD 20596	0:50:00
2021/02/02 11:30:19 PM	Calar Alto	2021/02/02	Great weather condition in the early night. Then a bit cloudy.  Managed to observe 3 sources: LSPM J0419+4233 (early night),  LSPM J0903+0540 (mid-night) and 2MUCD 20596 (late night).	LSPM J0419+4233	5:58:00		2:55:00
2021/02/03 06:26:23 PM	Calar Alto	2021/02/03	No observations could have been conducted due to very thick deck of clouds for the whole night.				
2021/02/04 09:33:13 PM	Calar Alto	2021/02/04	Observed two targets despite clouds and later strong winds. Interruptions due to wind warnings.	LSPM J0419+4233	1:11:56	LSPM J0903+0540	2:39:58
2021/02/05 03:21:41 PM	Calar Alto	2021/02/05	No observations were possible due to clouds, rain, temperatures close to dew point and also some wind.				
2021/02/05 10:18:42 PM	Calar Alto	2021/02/05	After not observing due to bad weather until 02:30 UT, the sky cleared afterwards. Interruption of one more hour due to bad weather and stopped early at 05:09 UT due to high humdity.	2MUCD 20596	1:04:00		
2021/02/14 10:14:34 PM	Calar Alto	2021/02/14	Clear night; LSPM J0419 & 2MUCD 20596 observed	LSPM J0419+4233	6:40:00	2MUCD 20596	4:30:00
2021/02/14 10:14:38 PM	Calar Alto	2021/02/14	Clear night; LSPM J0419 & 2MUCD 20596 observed	LSPM J0419+4233	6:40:00	2MUCD 20596	4:30:00
2021/02/15 11:43:11 PM	Calar Alto	2021/02/15	Mostly clear (thin clouds; lost the first target for 3 hours; condition for the second target was good)	LSPM J0419+4233	2:00:00	2MUCD 20596	5:00:00
2021/02/16 10:27:48 PM	Calar Alto	2021/02/16	Clear night; observed LSPM J0419+4233 & 2MUCD 20596	LSPM J0419+4233	4:00:00	2MUCD 20596	4:00:00
2021/02/17 10:26:08 PM	Calar Alto	2021/02/17	Best conditions, observed two targets for 5h and 4.5h	LSPM J0419+4233	5:09:00	2MUCD 20596	4:28:00
2021/02/18 10:47:06 PM	Calar Alto	2021/02/18	Initially light clouds, increasing from 20:30-21:45 UT, afterwards clear sky until sunrise. Observed LSPM J0419+4233 and 2MUCD 20596	LSPM J0419+4233	6:00:00	2MUCD 20596	4:40:00
2021/02/19 10:35:43 PM	Calar Alto	2021/02/19	High altitude thin clouds illuminated by the moon during the first half of night. Mostly clear on the second half	LSPM J0419+4233	4:00:00	2MUCD 20596	5:00:00
2021/02/20 09:15:53 PM	Calar Alto	2021/02/20	Cloudy at beginning. Bad weather shortly after start of astronight forced to close the telescope.	TOI2445	1:30:00		
2021/02/21 09:28:23 PM	Calar Alto	2021/02/21	Bad weather conditions (initially snow, then hight humidity and clouds), opening the dome was impossible for the whole night.				
2021/02/22 07:41:55 PM	Calar Alto	2021/02/22	No observations due to bad weather conditions.				
2021/02/23 08:30:41 PM	Calar Alto	2021/02/23	No observations due to bad weather conditions.				
2021/03/13 09:21:11 PM	Calar Alto	2021/03/13	Bad weather the whole night	LP 220-13	1:00:00		
2021/03/14 10:13:13 PM	Calar Alto	2021/03/14	Clear night 	LP315-53	4:08:00	LP220-13	4:00:00
2021/03/16 12:00:11 AM	Calar Alto	2021/03/15	Clear night. Observed: LSPMJ0419+4233, LP315-53, LP220-13	LSPM J0419+4233	2:53:00	LP315-53	6:00:00
2021/03/17 02:13:30 AM	Calar Alto	2021/03/16	Clear/slightly hazy night. Observed: LSPMJ0419+4233, LP315-53, LP220-13	LSPM J0419+4233	2:00:00	LP315-53	3:00:00
2021/03/17 10:54:53 PM	Calar Alto	2021/03/17	Great weather. Clear sky.	LSPM J0419+4233	3:00:00	LP 315-53 then TOI 2015	7:00:00
2021/03/18 06:34:03 PM	Calar Alto	2021/03/18	Bad weather all night.				
2021/03/19 06:47:41 PM	Calar Alto	2021/03/19	Bad weather all night				
2021/04/03 12:27:12 PM	Lulin	2021/01/03	The sky was clear all night	LSPM J0419+4233	6:21:00		0:21:00
2021/04/03 12:28:23 PM	Lulin	2021/01/04	The sky was clear all night	LSPM J0419+4233	6:36:00		3:04:00
2021/04/03 12:29:23 PM	Lulin	2021/01/05	The sky was clear all night.	LSPM J0419+4233	6:04:00		3:05:00
2021/04/03 12:29:57 PM	Lulin	2021/01/06	cloudy and no observation				
2021/04/03 12:31:14 PM	Lulin	2021/01/07	The sky was clear before 13:55 UT, cloud passed between 14:15 to 15:03 UT		1:58:00		1:23:00
2021/04/03 12:31:36 PM	Lulin	2021/01/08	cloudy and no observation				
2021/04/03 12:32:43 PM	Lulin	2021/01/09	The sky was clear between 12:30 to 20:30 UT, cloud passed between 14:50 to 15:07 and after 20:19 UT		0:57:00		6:51:00
2021/04/03 12:33:09 PM	Lulin	2021/01/10	cloudy and no observation				
2021/04/03 12:33:29 PM	Lulin	2021/01/11	cloudy and no observation				
2021/04/03 12:34:30 PM	Lulin	2021/02/16	The sky was clear UT17:40-18:10 and UT20:00-20:40 , 20:45-21:30		1:01:00		
2021/04/03 12:35:37 PM	Lulin	2021/02/17	cloudy and no observation				
2021/04/03 12:36:36 PM	Lulin	2021/02/18	The sky was clear all night	LSPM J0419+4233	3:57:00		5:11:00
2021/04/03 12:37:46 PM	Lulin	2021/02/19	thin cloud pass all night	LSPM J0419+4233	3:18:00		5:22:00
2021/04/03 12:38:40 PM	Lulin	2021/02/20	The sky was clear but thin cloud pass all night	LSPM J0419+4233	3:29:00		5:14:00
2021/04/03 12:39:53 PM	Lulin	2021/02/22	not scheduled observation date. Only Flat was taken. The weather was clear all night.				
2021/04/03 12:41:13 PM	Lulin	2021/03/16	The sky was  clear after  UT11:20	LSPM J0419+4233	1:26:00		5:46:00
2021/04/03 12:42:11 PM	Lulin	2021/03/17	The sky was clear all night 	LSPM J0419+4233	2:03:00		5:44:00
2021/04/03 12:43:03 PM	Lulin	2021/03/18	The sky was clear all night but thin cloud pass between UT 12:40-13:40, 16:13, 17:13-18:14, 18:37-20:05 	LSPM J0419+4233	2:11:00		4:30:00
2021/04/03 12:44:10 PM	Lulin	2021/03/19	The sky was clear all night, but thin cloud pass before UT 12:27, 13:58-14:30, 15:00-15:32, 16:25-17:10, after 19:22	LSPM J0419+4233	2:14:00		5:06:00
2021/04/03 12:45:17 PM	Lulin	2021/03/20	The sky was clear after UT 12:30	LSPM J0419+4233	1:08:00		4:28:00
2021/04/10 05:09:42 AM	Kuiper	2021/04/09	Observed primary target for 6 hours and secondary target for 3.5 hours	LP 315-53	6:00:00	LP 220-13	3:30:00
2021/04/10 09:47:12 PM	Calar Alto	2021/04/11	Initially too hight humidity, then observed LP 315-53 for about 2 hours, then issues with telescope; finally observed LP 220-13 for about 3 hours	LP 315-53	2:00:00	LP 220-13	3:30:00
2021/04/11 05:01:11 AM	Kuiper	2021/04/10	Observed two targets for 6 and 3.5 hours	LP 315-53	6:00:00	LP 220-13	3:15:00
2021/04/11 09:39:11 PM	Calar Alto	2021/04/11	Observed LP 315-53 for 2h45, then LP 220-13 for 3h30	LP 315-53	2:45:00	LP 220-13	3:30:00
2021/04/12 04:58:15 AM	Kuiper	2021/04/11	Observed main target for 3 hours then closed due to clouds	LP 315-53	3:00:00		
2021/04/12 10:23:10 PM	Calar Alto	2021/04/12	No observation for half of the night due to clouds. Then, observation of the two targets possible but still cloudy.	LP315-53	1:49:00	LP220-13	2:32:00
2021/04/13 06:34:55 PM	Calar Alto	2021/04/13	Observations possible for LP315 only (early astro noght for 1.5 h). Then, I had to close the dome due to bad weather conditions (clouds). Neither TOI226 nor LP220 have been observed.	LP 315-53	1:33:00		
2021/04/14 06:49:15 PM	Calar Alto	2021/04/14	No observations due to bad weather				
2021/04/15 06:41:45 PM	Calar Alto	2021/04/15	Bad weather all night. No observations were made				
2021/04/16 06:46:38 PM	Calar Alto	2021/04/16	No observations possible due to high humidity (fog)				
2021/05/01 04:36:14 AM	Kuiper	2021/04/30	Observed LP 220-13 the whole night (8.5 hours)	LP 220-13	8:30:00		
2021/05/03 04:07:24 AM	Kuiper	2021/05/01	Observed LP 220-13 for 6 hours around clouds at start and end	LP 220-13	6:00:00		
2021/05/03 04:08:02 AM	Kuiper	2021/05/02	Observed LP 220-13 for whole night	LP 220-13	8:30:00		
2021/05/04 04:27:30 AM	Kuiper	2021/05/04	Observed main target for full night (8.5 hours)	LP 220-13	8:30:00		
2021/06/30 11:11:13 AM	Lulin	2021/05/01	cloudy all night. no observation				
2021/06/30 11:11:45 AM	Lulin	2021/05/02	cloudy and no observation				
2021/06/30 11:12:14 AM	Lulin	2021/05/02	bad weather and no observation				
2021/06/30 11:12:33 AM	Lulin	2021/05/04	bad weather and no observation				
2021/06/30 11:13:37 AM	Lulin	2021/05/04	The sky was clear after UT 18:50	LP_220-13	1:10:00		
2021/06/30 11:14:28 AM	Lulin	2021/05/03	no observation				
2021/06/30 11:15:25 AM	Lulin	2021/05/05	The sky was clear after UT 18:50	LP_220-13	1:10:00		
2021/06/30 11:16:26 AM	Lulin	2021/05/06	clear all night but very thin cloud passed sometimes	LP_220-13	3:55:00		
2021/06/30 11:16:59 AM	Lulin	2021/06/01	no observation				
2021/06/30 11:18:42 AM	Lulin	2021/06/02	cloudy all night	LP_220-13	4:10:00		
2021/06/30 11:21:32 AM	Lulin	2021/06/03	clear after UT 12:35	LP_220-13	5:34:00		
2021/06/30 11:23:01 AM	Lulin	2021/05/06	clear all night but very thin cloud passed sometimes	LP_315-53	3:20:00	LP_220-13	3:55:00
2021/08/30 09:27:01 PM	Calar Alto	2021/08/30	Lost 4 hours due to technical issues, then about 3.5hrs of observations went smooth	2MASSI J0019457+521317	3:30:00		
2021/08/31 07:27:02 PM	Calar Alto	2021/08/31	There were a lot of interruptions on the science loop due to bad weather	2MASSI J0019457+521317	5:00:00		
2021/09/01 06:48:28 PM	Calar Alto	2021/09/01	Target observed for one hour then closed due to humidity	2MASSI J0019457+521317	1:00:00		
2021/09/03 09:17:30 PM	Calar Alto	2021/02/09	Cloudy at the beginning, remote remained red even when the skies cleared. E-mailed to have it turn green and then observed target for ~7h	2MASSI J0019457+521317	7:00:00		
2021/09/04 12:46:35 PM	Calar Alto	2021/09/04	Clear night. Observed target for the whole Astro night (8h).	2MASSI J0019457+521317	8:00:00		
2021/09/04 09:27:43 PM	Calar Alto	2021/09/04	Observed target for 8h 	2MASSI J0019457+521317	8:00:00		
2021/09/05 07:59:10 PM	Calar Alto	2021/09/05	Closed almost at the beginning of Astro night due to clouds	2MASSI J0019457+521317	0:50:00		
2021/09/06 08:33:50 PM	Calar Alto	2021/09/06	Dome closed very early due to clouds. Only ~ 2h20 min of science.	2MASSIJ0019457+521317	2:20:00		
2021/09/07 09:27:55 PM	Calar Alto	2021/09/07	Started late due to bad weather, went clear after that	2MASSI J0019457	5:00:00		
2021/09/08 09:01:51 PM	Calar Alto	2021/09/08	Observed main target all night	2MASSI J0019457+521317	7:30:00		
2021/09/29 09:51:18 PM	Calar Alto	2021/09/29	Whole night was clear	LP229-30	4:00:00	LSPM J0124+6819	5:00:00
2021/09/30 09:50:03 PM	Calar Alto	2021/09/30	Mostly clear	LP229-30	2:40:00	LP647-13	3:00:00
2021/10/01 09:45:32 PM	Calar Alto	2021/10/01	Observed only secondary target due to heavy clouds in the start of the astro night & interrupted science loop once, again due to heavy clouds.	LSPM J0124+6819	5:30:00		
2021/10/02 09:47:44 PM	Calar Alto	2021/10/02	Observed both targets for 3.5 and 5.5h respectively. Somewhat cloudy at times.	 LP229-30	3:30:00	LSPM J0124+6819	5:30:00
2021/10/03 02:49:32 PM	Calar Alto	2021/10/03	No observations possible due to bad weather				
2021/10/04 09:52:06 PM	Calar Alto	2021/10/04	Observed two targets, the whole night was mostly clear.	LP229-30	2:30:00	LSPM J0124+6819	6:00:00
2021/10/05 09:50:27 PM	Calar Alto	2021/10/05	Cloudy at the beginning, clear in the second half	LSPM J0124+6819	4:47:00		
2021/10/06 02:28:54 AM	Lulin	2021/09/22	The sky was cloudy around UT 14:50 - 18:34, and  became clear after UT 18:34.	LP_229-30	1:00:00	GJ1083	3:26:00
2021/10/06 02:30:08 AM	Lulin	2021/09/23	Clouds pass by all night.	LP_229-30	1:45:00	GJ1083	2:53:00
2021/10/06 02:32:09 AM	Lulin	2021/09/24	Clouds pass by all night.	LP_229-30	0:33:00	GJ1083	1:37:00
2021/10/06 02:35:32 AM	Lulin	2021/09/25	The observation after 16:00 UT had thin cloud and the sky was clear after 18:30 UT.	GJ1083	3:47:00		
2021/10/06 02:36:43 AM	Lulin	2021/09/26	The sky was clear after 13:30 UT.	LP_229-30	2:44:00	GJ1083	3:39:00
2021/10/06 02:38:43 AM	Lulin	2021/09/27	The sky was clear after UT 16:30.	LP_229-30	0:49:00	LP_647-13	3:44:00
2021/10/06 02:40:05 AM	Lulin	2021/09/28	Fog pass between UT12:03-13:00, and the sky was clear in other time.	LP_647-13	3:34:00		
2021/10/06 02:41:45 AM	Lulin	2021/09/29	The sky was clear all night.	TOI_1749	4:09:00	LP_647-13	4:06:00
2021/10/06 02:43:56 AM	Lulin	2021/09/30	The sky was coudy around UT 12:40-21:00 and 14:00-14:15.	TOI_1749	3:39:00	LP_647-13	3:04:00
2021/10/06 09:36:28 PM	Calar Alto	2021/10/06	All night clear	LP229-30	4:00:00	LSPM J0124+6819	5:00:00
2021/10/07 09:49:03 PM	Calar Alto	2021/10/07	Clear the whole night. Observed 2 targets	LP 229-30 	3:45:00	LSPM J0124+6819	5:43:00
2021/10/08 09:46:33 PM	Calar Alto	2021/10/08	Clear the whole night. Observed 2 targets	LP229-30	3:47:00	LSPM J0124+6819	5:44:00
2021/10/09 09:52:04 PM	Calar Alto	2021/10/09	observed first target for 2 hours and 40 minutes,  second target for 1 hour and 10 minutes, and then closed due to humidity and clouds	LP229-30	2:40:00	GJ806 and LSPM J0124+6819	4:32:00
2021/10/12 11:02:29 PM	Lulin	2021/06/04	bad weather and no observation				
2021/10/12 11:02:49 PM	Lulin	2021/10/12	rain and no observation				
2021/10/16 12:03:18 PM	Lulin	2021/10/13	cloudy and rain. no observation.				
2021/10/16 12:03:41 PM	Lulin	2021/10/14	cloudy and no observation.				
2021/10/19 12:03:40 PM	Lulin	2021/10/15	cloudy	LP-229-30	0:34:00		
2021/10/19 01:10:12 PM	Lulin	2021/10/16	The weather condition: UT1300-1520 clear, 1520-1600 cloudy 1600-1640 clear, 1640-1730 cloudy, 1730-1750 clear, 1750-1844 cloudy, 1844-1930 sometimes cloud pass, after 1930 cloudy.	LP-647-13	0:04:00	GJ1083	3:22:00
